Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Sergej Milinković-Savić\4e6dbac4,rs SRB,MF,26-333,22,21,1765,19.6,7,8,7,0,0,5,1,0.36,0.41,0.76,0.36,0.76,3.9,3.9,3.4,7.4,0.2,0.17,0.37,0.2,0.37,Matches
Elseid Hysaj\2f3452eb,al ALB,DF,27-340,21,21,1722,19.1,1,0,1,0,0,2,0,0.05,0,0.05,0.05,0.05,0.5,0.5,0.6,1.1,0.03,0.03,0.06,0.03,0.06,Matches
Pedro\3ca7254a,es ESP,FW,34-182,22,21,1628,18.1,7,4,7,0,0,3,0,0.39,0.22,0.61,0.39,0.61,3.6,3.6,2.9,6.5,0.2,0.16,0.36,0.2,0.36,Matches
Luiz Felipe\15d0c248,br BRA,DF,24-310,20,20,1752,19.5,0,0,0,0,0,8,1,0,0,0,0,0,0.2,0.2,0.1,0.3,0.01,0,0.01,0.01,0.01,Matches
Felipe Anderson\9f1893b9,br BRA,FW,28-286,23,20,1726,19.2,3,6,3,0,0,1,0,0.16,0.31,0.47,0.16,0.47,2.6,2.6,4.3,6.9,0.14,0.22,0.36,0.14,0.36,Matches
Ciro Immobile\4431aed2,it ITA,FW,31-340,19,19,1631,18.1,17,2,14,3,5,2,0,0.94,0.11,1.05,0.77,0.88,13.3,9.5,1.6,11,0.73,0.09,0.82,0.52,0.61,Matches
Francesco Acerbi\b96b595c,it ITA,DF,33-350,18,18,1539,17.1,3,0,3,0,0,1,1,0.18,0,0.18,0.18,0.18,1,1,0.2,1.3,0.06,0.01,0.08,0.06,0.08,Matches
Adam Marušić\d4535821,me MNE,DF,29-101,19,17,1525,16.9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.2,0.3,0,0.01,0.01,0,0.01,Matches
Luis Alberto\5294a83f,es ESP,MF,29-120,21,15,1368,15.2,3,6,3,0,0,4,0,0.2,0.39,0.59,0.2,0.59,1.6,1.6,3.7,5.2,0.1,0.24,0.34,0.1,0.34,Matches
Pepe Reina\e358587b,es ESP,GK,39-148,15,15,1350,15,0,1,0,0,0,3,0,0,0.07,0.07,0,0.07,0,0,0.3,0.3,0,0.02,0.02,0,0.02,Matches
Danilo Cataldi\ba3d3bea,it ITA,MF,27-173,20,14,1132,12.6,1,2,1,0,0,6,0,0.08,0.16,0.24,0.08,0.24,0.2,0.2,1.5,1.6,0.01,0.12,0.13,0.01,0.13,Matches
Lucas Leiva\4c78b5ed,br BRA,MF,35-017,21,9,929,10.3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
Thomas Strakosha\339fe0e8,al ALB,GK,26-313,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Mattia Zaccagni\d85c238b,it ITA,FW,26-224,15,7,743,8.3,2,3,2,0,0,2,0,0.24,0.36,0.61,0.24,0.61,1,1,1.3,2.2,0.12,0.15,0.27,0.12,0.27,Matches
