Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
David de Gea\7ba6d84e,es ESP,GK,31-080,22,22,1980,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Bruno Fernandes\507c7bdf,pt POR,MF,27-140,21,20,1768,19.6,7,5,7,0,1,6,0,0.36,0.25,0.61,0.36,0.61,4.6,3.9,6.2,10.1,0.24,0.31,0.55,0.2,0.51,Matches
Harry Maguire\d8931174,eng ENG,DF,28-327,18,17,1504,16.7,0,0,0,0,0,7,1,0,0,0,0,0,0.7,0.7,0,0.8,0.04,0,0.05,0.04,0.05,Matches
Scott McTominay\d93c2511,sct SCO,MF,25-049,19,17,1460,16.2,1,0,1,0,0,5,0,0.06,0,0.06,0.06,0.06,0.7,0.7,1.3,2,0.04,0.08,0.13,0.04,0.13,Matches
Fred\b853e0ad,br BRA,MF,28-327,18,17,1427,15.9,2,3,2,0,0,4,0,0.13,0.19,0.32,0.13,0.32,0.6,0.6,1.6,2.2,0.04,0.1,0.14,0.04,0.14,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,36-355,18,16,1457,16.2,8,3,6,2,2,4,0,0.49,0.19,0.68,0.37,0.56,9.2,7.7,1.7,9.4,0.57,0.1,0.67,0.47,0.58,Matches
Mason Greenwood\58eee997,eng ENG,FWMF,20-117,18,16,1271,14.1,5,1,5,0,0,1,0,0.35,0.07,0.42,0.35,0.42,4.6,4.6,1.6,6.1,0.32,0.11,0.43,0.32,0.43,Matches
Aaron Wan-Bissaka\9e525177,eng ENG,DF,24-061,15,15,1343,14.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0,0.04,0.05,0,0.05,Matches
Victor Lindelöf\f5deef4c,se SWE,DF,27-193,15,14,1267,14.1,0,2,0,0,0,2,0,0,0.14,0.14,0,0.14,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Matches
Luke Shaw\9c94165b,eng ENG,DF,26-198,14,14,1179,13.1,0,1,0,0,0,5,0,0,0.08,0.08,0,0.08,0.2,0.2,1.8,1.9,0.01,0.14,0.15,0.01,0.15,Matches
Raphaël Varane\9f8e9423,fr FRA,DF,28-276,12,11,1015,11.3,0,1,0,0,0,0,0,0,0.09,0.09,0,0.09,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
